top - 00:32:23 up  1:09,  1 user,  load average: 19.62, 18.25, 15.87
Tasks: 454 total,   3 running, 451 sleeping,   0 stopped,   0 zombie
%Cpu(s): 61.9 us,  6.0 sy,  0.0 ni, 32.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15911.2 total,   4096.4 free,   7408.0 used,   4406.8 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.   8007.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    967 aidan     20   0   10612   3200   3072 S   0.0   0.0   0:00.00 monitor_vault.s
    995 aidan     20   0    2992   1664   1536 S   0.0   0.0   0:00.00 inotifywait
    997 aidan     20   0   10612   1540   1408 S   0.0   0.0   0:00.00 monitor_vault.s
   1003 root      20   0  317968  12160  10496 S   0.0   0.1   0:00.05 ModemManager
   1020 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia-modeset/deferred_close_kthread_q
   1023 root     -51   0       0      0      0 S   0.0   0.0   0:48.75 irq/156-nvidia
   1024 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia
   1025 root      20   0       0      0      0 S   0.0   0.0   0:00.25 nv_queue
   1146 root      20   0  118820  23832  15000 S   0.0   0.1   0:00.03 unattended-upgr
   1149 root      20   0   15436   9172   7636 S   0.0   0.1   0:00.00 sshd
   1150 root      20   0 2315972  41852  30280 S   0.0   0.3   0:01.74 containerd
   1322 root      20   0  241880   8916   7892 S   0.0   0.1   0:00.01 gdm3
   1331 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM global queue
   1332 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM deferred release queue
   1335 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM Tools Event Queue
   1352 nvidia-+  20   0    5472   1892   1764 S   0.0   0.0   0:00.02 nvidia-persiste
   1374 root      20   0       0      0      0 I   0.0   0.0   0:00.18 kworker/5:2-events
   1411 rtkit     21   1  154004   3072   2944 S   0.0   0.0   0:00.01 rtkit-daemon
   1525 root      20   0  243092   8800   7520 S   0.0   0.1   0:00.06 upowerd
   1527 geoclue   20   0  715616  26276  14628 S   0.0   0.2   0:00.44 geoclue
   1531 root      20   0  373956  42936  18552 S   0.0   0.3   0:05.84 packagekitd
   1635 colord    20   0  246104  13036   9580 S   0.0   0.1   0:00.08 colord
